"Qubit","T1 (us)","T2 (us)","Readout assignment error","Init error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"63","410.66505513641573","62.84537105204627","0.008544921875","0.0060538440237412365","0.01025390625","0.0068359375","2180","0.00023146835346849175","32","0.00023146835346849175","0","0.00023146835346849175","0.00023146835346849175","56:0.0019045219911049405;62:0.0019337072360459673;64:0.001922200160811044","56:68;62:68;64:68","56:0.0018437527413409094;62:0.0016982791948944032;64:0.0016998597360441958","0.008544921875","0.027099609375","Yes"
"64","125.04050033315775","106.14910742114554","0.002685546875","0.0011252808938304038","0.00341796875","0.001953125","2180","0.00033737260506384674","32","0.00033737260506384674","0","0.00033737260506384674","0.00033737260506384674","65:0.002962892309946785;63:0.001922200160811044","65:68;63:68","65:0.001884364296753066;63:0.0016998597360441958","0.002685546875","0.005126953125","Yes"
"65","218.22521598096506","180.84178008410228","0.010986328125","0.0014000620162892472","0.018798828125","0.003173828125","2180","0.00031625277571690347","32","0.00031625277571690347","0","0.00031625277571690347","0.00031625277571690347","64:0.002962892309946785;66:0.002126592504291952;77:0.005369628482603278","64:68;66:68;77:68","64:0.001884364296753066;66:0.0017449576888292906;77:0.003341598919273797","0.010986328125","0.004638671875","Yes"
"66","106.4389318962511","95.03197690134559","0.007080078125","0.000800861014773445","0.0126953125","0.00146484375","2180","0.0004020962198257967","32","0.0004020962198257967","0","0.0004020962198257967","0.0004020962198257967","65:0.002126592504291952;67:0.0020424519921747597","65:68;67:68","65:0.0017449576888292906;67:0.0025903796996556983","0.007080078125","0.006103515625","Yes"
"67","141.39028712885855","138.50394282435525","0.004150390625","0.00040004351739699075","0.0078125","0.00048828125","2180","0.0001919928827856191","32","0.0001919928827856191","0","0.0001919928827856191","0.0001919928827856191","68:0.0016120280347287075;57:0.0037940056195489846;66:0.0020424519921747597","68:68;57:68;66:68","68:0.0012138416395912066;57:0.0014453720600142717;66:0.0025903796996556983","0.004150390625","0.005615234375","Yes"
"68","225.99517862063985","157.6019467269181","0.013671875","0.007036610414684888","0.015869140625","0.011474609375","2180","0.00022667298875264102","32","0.00022667298875264102","0","0.00022667298875264102","0.00022667298875264102","67:0.0016120280347287075;69:0.0016214171205053973","67:68;69:68","67:0.0012138416395912066;69:0.001242846329675168","0.013671875","0.01318359375","Yes"
"69","78.0986812839703","103.67318495556731","0.00537109375","0.002400158995965485","0.0068359375","0.00390625","2180","0.00023801535333188323","32","0.00023801535333188323","0","0.00023801535333188323","0.00023801535333188323","78:0.004428494089181667;68:0.0016214171205053973;70:0.004100395369205673","78:68;68:68;70:68","78:0.00276505772426508;68:0.001242846329675168;70:0.0018725591926287422","0.00537109375","0.004150390625","Yes"
"70","163.6486943707854","175.1819633967929","0.017578125","","0.01611328125","0.01904296875","2180","0.0001276618724952762","32","0.0001276618724952762","0","0.0001276618724952762","0.0001276618724952762","69:0.004100395369205673;71:0.0018305436544728548","69:68;71:68","69:0.0018725591926287422;71:0.002990456538462971","0.017578125","0.0419921875","Yes"
"71","301.22633528935387","200.1901357144104","0.005126953125","0.0030019612662787","0.00634765625","0.00390625","2180","0.0002833774743464471","32","0.0002833774743464471","0","0.0002833774743464471","0.0002833774743464471","72:0.0015243769440723143;58:0.0018760350989739105;70:0.0018305436544728548","72:68;58:68;70:68","72:0.002278472787035024;58:0.003072545836668772;70:0.002990456538462971","0.005126953125","0.007568359375","Yes"
"72","252.01646692450024","166.17375569821445","0.044677734375","","0.0498046875","0.03955078125","2180","0.0006270230523137108","32","0.0006270230523137108","0","0.0006270230523137108","0.0006270230523137108","73:0.0014890148391914215;71:0.0015243769440723143","73:68;71:68","73:0.002504457643767083;71:0.002278472787035024","0.044677734375","0.047119140625","Yes"
"73","248.74656792563104","151.84447367314652","0.0205078125","","0.018310546875","0.022705078125","2180","0.00021755899675254638","32","0.00021755899675254638","0","0.00021755899675254638","0.00021755899675254638","72:0.0014890148391914215;74:0.0012004197359919144;79:0.0011920226571086046","72:68;74:68;79:68","72:0.002504457643767083;74:0.0015404602517347377;79:0.0012233900553407784","0.0205078125","0.01708984375","Yes"
"74","260.3370177427488","180.93090151609147","0.004638671875","0.0014025792820625117","0.007568359375","0.001708984375","2180","0.000296094674297178","32","0.000296094674297178","0","0.000296094674297178","0.000296094674297178","73:0.0012004197359919144;75:0.001310454837902847","73:68;75:68","73:0.0015404602517347377;75:0.0014794974622377166","0.004638671875","0.003662109375","Yes"
"75","266.5422538238852","143.09572260949443","0.0107421875","","0.013671875","0.0078125","2180","0.0001735024960543022","32","0.0001735024960543022","0","0.0001735024960543022","0.0001735024960543022","59:0.0022042728319779936;74:0.001310454837902847","59:68;74:68","59:0.0015304789558165388;74:0.0014794974622377166","0.0107421875","0.052490234375","Yes"
